# LAYER_No.	ENERGY[MeV]	INTENSITY[MU/s]
1	175.6	3
2	172.4	2.52
3	169.6	2.08
4	166.4	2.41
5	163.2	2.22
6	160.4	0.57
7	157.6	0.57
8	154.8	0.62
9	152	0.34
10	149.2	0.24
11	146.4	0.19
12	143.6	0.18
13	150.8	1
14	148.8	1
15	146.8	1
16	144.8	1
17	142.8	1
18	140.8	1
19	138.8	1
20	136.8	1
21	102.8	1
22	102	1
23	221.2	1
24	220.8	1
25	220.4	1
26	220	1
27	219.6	1
28	219.2	1
29	218.8	1
30	218.4	1
31	218	1
32	217.6	1
33	217.2	1
34	216.8	1
35	216.4	1
36	216	1
37	215.6	1
38	215.2	1
39	214.8	1
40	214.4	1
41	214	1
42	213.6	1
43	213.2	1
44	212.8	1
45	212.4	1
46	212	1
47	211.6	1
48	211.2	1
49	210.8	1
50	210.4	1
51	210	1
52	209.6	1
53	209.2	1
54	208.8	1
55	208.4	1
56	208	1
57	207.6	1
58	207.2	1
59	206.8	1
60	206.4	1
61	206	1
62	205.6	1
63	205.2	1
64	204.8	1
65	204.4	1
66	204	1
67	203.6	1
68	203.2	1
69	202.8	1
70	202.4	1
71	202	1
72	201.6	1
73	201.2	1
74	200.8	1
75	200.4	1
76	200	1
77	199.6	1
78	199.2	1
79	198.8	1
80	198.4	1
81	198	1
82	197.6	1
83	197.2	1
84	196.8	1
85	196.4	1
86	196	1
87	195.6	1
88	195.2	1
89	194.8	1
90	194.4	1
91	194	1
92	193.6	1
93	193.2	1
94	192.8	1
95	192.4	1
96	192	1
97	191.6	1
98	191.2	1
99	190.8	1
100	190.4	1
